City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country
villa maria,-32.41,-63.24,46.0,44,0,4.0,AR
dourbali,11.81,15.86,73.15,92,99,6.78,TD
katsuura,35.13,140.3,97.0,66,20,8.05,JP
promissao,-21.54,-49.86,72.32,45,27,5.32,BR
bredasdorp,-34.53,20.04,46.4,87,0,9.17,ZA
benguela,-12.58,13.41,66.38,89,0,1.3,AO
puerto ayora,-0.74,-90.35,66.99,98,97,1.99,EC
ca mau,9.18,105.15,79.3,84,100,5.35,VN
busselton,-33.65,115.33,59.0,78,95,5.01,AU
cockburn town,21.46,-71.14,82.96,83,83,18.03,TC
upernavik,72.79,-56.15,40.87,84,100,12.39,GL
thompson,55.74,-97.86,59.0,93,75,3.36,CA
niquero,20.04,-77.58,82.02,76,0,3.42,CU
albany,42.6,-73.97,73.0,68,0,3.87,US
rumonge,-3.97,29.44,72.7,43,82,2.37,BI
cape town,-33.93,18.42,52.0,87,20,8.05,ZA
port lincoln,-34.73,135.87,61.02,66,2,14.05,AU
punta arenas,-53.15,-70.92,28.4,74,1,2.24,CL
kodiak,57.79,-152.41,57.2,71,20,5.82,US
severo-kurilsk,50.68,156.12,54.72,72,99,7.34,RU
rikitea,-23.12,-134.97,70.23,67,4,10.36,PF
ushuaia,-54.8,-68.3,30.2,92,75,9.17,AR
chernihiv,51.0,32.0,48.15,85,77,6.02,UA
bluff,-46.6,168.33,48.99,61,0,1.99,NZ
almaznyy,48.04,40.05,53.6,76,0,6.71,RU
westport,41.14,-73.36,73.0,97,100,4.14,US
ribeira grande,38.52,-28.7,71.44,73,12,4.12,PT
atuona,-9.8,-139.03,78.1,79,49,19.46,PF
vaini,-21.2,-175.2,75.2,88,75,17.22,TO
sibolga,1.74,98.78,85.17,59,84,3.98,ID
jumla,29.27,82.18,68.25,66,90,2.42,NP
narsaq,60.92,-46.05,46.4,93,99,4.7,GL
cherskiy,68.75,161.3,50.63,61,93,3.74,RU
hobart,-42.88,147.33,62.01,72,75,5.82,AU
bafq,31.61,55.41,86.31,13,0,3.06,IR
pangnirtung,66.15,-65.71,44.15,76,36,7.0,CA
kapaa,22.08,-159.32,84.2,66,20,13.87,US
bubaque,11.28,-15.83,78.71,83,100,13.4,GW
toora-khem,52.47,96.11,70.14,50,100,1.28,RU
port hardy,50.7,-127.42,59.0,82,90,3.36,CA
hermanus,-34.42,19.23,39.99,94,2,10.2,ZA
port alfred,-33.59,26.89,52.07,75,0,7.49,ZA
loiza,18.43,-65.88,82.4,88,75,9.17,PR
dillon,34.42,-79.37,75.99,100,40,3.36,US
jiaozuo,35.24,113.23,90.52,53,42,5.37,CN
ayolas,-27.4,-56.9,52.81,95,0,2.37,PY
arraial do cabo,-22.97,-42.03,71.96,84,0,26.69,BR
avarua,-21.21,-159.78,75.2,60,22,13.87,CK
shingu,33.73,135.98,89.6,75,40,6.93,JP
naze,28.37,129.48,87.8,79,75,5.82,JP
mulege,26.88,-111.98,92.41,44,0,5.44,MX
saskylakh,71.92,114.08,49.17,61,59,6.4,RU
kargasok,59.06,80.86,65.66,85,100,5.1,RU
mugumu,-1.85,34.7,62.58,85,100,4.32,TZ
barrow,71.29,-156.79,46.4,87,75,12.75,US
alice springs,-23.7,133.88,69.8,28,0,5.82,AU
aklavik,68.22,-135.01,55.4,71,75,8.05,CA
hilo,19.73,-155.09,80.6,61,90,5.82,US
yulara,-25.24,130.99,68.0,28,0,4.7,AU
mataura,-46.19,168.86,48.99,61,0,1.99,NZ
port macquarie,-31.43,152.92,71.01,71,21,1.99,AU
marsa matruh,31.35,27.25,71.6,83,0,12.5,EG
amapa,1.0,-52.0,73.54,90,0,4.09,BR
kabompo,-13.59,24.2,48.97,44,0,3.94,ZM
mehriz,31.59,54.43,87.8,14,0,4.7,IR
lorengau,-2.02,147.27,81.91,81,100,13.62,PG
tuktoyaktuk,69.45,-133.04,53.6,76,75,11.41,CA
dikson,73.51,80.55,46.13,88,41,3.06,RU
motala,58.54,15.04,57.2,93,93,2.48,SE
bani,18.28,-70.33,82.0,81,39,11.99,DO
mareeba,-17.0,145.43,82.99,52,19,5.99,AU
kruisfontein,-34.0,24.73,44.38,84,0,5.44,ZA
puerto lempira,15.27,-83.77,79.79,87,20,8.32,HN
sahuaripa,29.05,-109.23,84.54,60,3,3.44,MX
yellowknife,62.46,-114.35,60.8,67,75,6.93,CA
